scenario,degradation_level,T_inlet_C,T_outlet_C,T_avg_C,T_moderator_K,P_MPa,mdot_kg_s,rho_g_cm3,delta_rho_pct,phase,subcooling_C,keff,keff_std,delta_keff_pcm,is_safe,wall_time_s
BYPASS_LEAKAGE,0.0,258.3,310.691,284.4955,557.6455,12.76,587.3,0.7520795,-0.12204,liquid,44.915,1.408397,0.000117,0.0,True,2865.7
BYPASS_LEAKAGE,0.05,258.5056,311.107,284.8063,557.9563,12.76,584.9508,0.7515012,-0.19885,liquid,44.604,1.408515,0.000137,11.86,True,2971.72
BYPASS_LEAKAGE,0.1,258.7112,311.5247,285.118,558.268,12.76,582.6016,0.7509197,-0.27607,liquid,44.292,1.408194,0.000129,-20.32,True,2893.45
BYPASS_LEAKAGE,0.15,258.9168,311.9441,285.4305,558.5805,12.76,580.2524,0.750335,-0.35371,liquid,43.98,1.408051,0.00014,-34.58,True,2836.67
BYPASS_LEAKAGE,0.2,259.1224,312.3653,285.7438,558.8938,12.76,577.9032,0.7497472,-0.43178,liquid,43.666,1.407769,0.000128,-62.76,True,2917.92
BYPASS_LEAKAGE,0.25,259.328,312.7882,286.0581,559.2081,12.76,575.554,0.7491561,-0.51027,liquid,43.352,1.407665,0.000125,-73.21,True,2861.96
BYPASS_LEAKAGE,0.3,259.5336,313.2129,286.3732,559.5232,12.76,573.2048,0.7485617,-0.58921,liquid,43.037,1.407331,0.000115,-106.53,True,2862.66
BYPASS_LEAKAGE,0.35,259.7392,313.6394,286.6893,559.8393,12.76,570.8556,0.747964,-0.66858,liquid,42.721,1.407391,0.000121,-100.53,True,2842.87
BYPASS_LEAKAGE,0.4,259.9448,314.0677,287.0063,560.1563,12.76,568.5064,0.7473629,-0.74841,liquid,42.404,1.407352,0.000125,-104.45,True,2868.72
BYPASS_LEAKAGE,0.45,260.1504,314.4979,287.3242,560.4742,12.76,566.1572,0.7467584,-0.82869,liquid,42.086,1.407112,0.000123,-128.48,True,2956.47
BYPASS_LEAKAGE,0.5,260.356,314.93,287.643,560.793,12.76,563.808,0.7461504,-0.90944,liquid,41.767,1.406868,0.000128,-152.86,True,2936.52
BYPASS_LEAKAGE,0.55,260.5616,315.3639,287.9627,561.1127,12.76,561.4588,0.7455389,-0.99065,liquid,41.447,1.406931,0.000142,-146.6,True,2950.99
BYPASS_LEAKAGE,0.6,260.7672,315.7998,288.2835,561.4335,12.76,559.1096,0.7449237,-1.07234,liquid,41.127,1.406715,0.00013,-168.13,True,2979.12
BYPASS_LEAKAGE,0.65,260.9728,316.2376,288.6052,561.7552,12.76,556.7604,0.744305,-1.15452,liquid,40.805,1.406517,0.000145,-188.02,True,3030.97
BYPASS_LEAKAGE,0.7,261.1784,316.6773,288.9279,562.0779,12.76,554.4112,0.7436825,-1.23718,liquid,40.482,1.406221,0.000109,-217.55,True,2949.37
BYPASS_LEAKAGE,0.75,261.384,317.1191,289.2515,562.4015,12.76,552.062,0.7430563,-1.32034,liquid,40.158,1.40603,0.000117,-236.67,True,2939.96
BYPASS_LEAKAGE,0.8,261.5896,317.5629,289.5762,562.7262,12.76,549.7128,0.7424263,-1.40401,liquid,39.834,1.405762,0.000134,-263.49,True,2960.56
BYPASS_LEAKAGE,0.85,261.7952,318.0087,289.902,563.052,12.76,547.3636,0.7417924,-1.48819,liquid,39.508,1.405612,0.000134,-278.46,True,2969.83
BYPASS_LEAKAGE,0.9,262.0008,318.4566,290.2287,563.3787,12.76,545.0144,0.7411546,-1.57289,liquid,39.181,1.405188,0.000133,-320.9,True,2985.37
BYPASS_LEAKAGE,0.95,262.2064,318.9066,290.5565,563.7065,12.76,542.6652,0.7405129,-1.65812,liquid,38.853,1.405324,0.000136,-307.3,True,2963.62
BYPASS_LEAKAGE,1.0,262.412,319.3587,290.8854,564.0354,12.76,540.316,0.739867,-1.74388,liquid,38.525,1.405094,0.000133,-330.22,True,2940.32
