scenario,degradation_level,T_inlet_C,T_outlet_C,T_avg_C,T_moderator_K,P_MPa,mdot_kg_s,rho_g_cm3,delta_rho_pct,phase,subcooling_C,keff,keff_std,delta_keff_pcm,is_safe,wall_time_s
RISER_CORROSION,0.0,258.3,309.7,284.0,557.15,12.76,587.3,0.7529985,0.0,liquid,45.41,1.408553,0.000147,0.0,True,2837.73
RISER_CORROSION,0.05,258.3,309.7235,284.0117,557.1617,12.76,587.0368,0.7529767,-0.00289,liquid,45.398,1.408914,0.000121,36.1,True,2906.34
RISER_CORROSION,0.1,258.3,309.7333,284.0166,557.1666,12.76,586.9275,0.7529677,-0.00409,liquid,45.393,1.408788,0.000136,23.51,True,2865.4
RISER_CORROSION,0.15,258.3,309.7408,284.0204,557.1704,12.76,586.8435,0.7529608,-0.00501,liquid,45.39,1.40853,0.000117,-2.25,True,2930.97
RISER_CORROSION,0.2,258.3,309.7471,284.0235,557.1735,12.76,586.7726,0.7529549,-0.00579,liquid,45.386,1.408631,0.000111,7.81,True,2910.76
RISER_CORROSION,0.25,258.3,309.7527,284.0263,557.1763,12.76,586.71,0.7529497,-0.00647,liquid,45.384,1.408667,0.000119,11.41,True,2998.78
RISER_CORROSION,0.3,258.3,309.7577,284.0289,557.1789,12.76,586.6535,0.752945,-0.0071,liquid,45.381,1.408841,0.000131,28.82,True,3310.77
RISER_CORROSION,0.35,258.3,309.7624,284.0312,557.1812,12.76,586.6014,0.7529407,-0.00767,liquid,45.379,1.408747,0.000136,19.49,True,2845.7
RISER_CORROSION,0.4,258.3,309.7667,284.0334,557.1834,12.76,586.5529,0.7529367,-0.0082,liquid,45.377,1.408696,0.000129,14.33,True,2825.43
RISER_CORROSION,0.45,258.3,309.7708,284.0354,557.1854,12.76,586.5073,0.7529329,-0.0087,liquid,45.375,1.408844,0.000127,29.16,True,2876.41
RISER_CORROSION,0.5,258.3,309.7747,284.0373,557.1873,12.76,586.4641,0.7529294,-0.00918,liquid,45.373,1.408796,0.000116,24.33,True,2917.0
RISER_CORROSION,0.55,258.3,309.7783,284.0392,557.1892,12.76,586.4231,0.752926,-0.00963,liquid,45.371,1.408852,0.000134,29.95,True,2876.72
RISER_CORROSION,0.6,258.3,309.7819,284.0409,557.1909,12.76,586.3838,0.7529227,-0.01006,liquid,45.369,1.408809,0.00014,25.62,True,2947.29
RISER_CORROSION,0.65,258.3,309.7852,284.0426,557.1926,12.76,586.3461,0.7529196,-0.01048,liquid,45.367,1.408708,0.000117,15.55,True,2882.16
RISER_CORROSION,0.7,258.3,309.7885,284.0442,557.1942,12.76,586.3098,0.7529166,-0.01088,liquid,45.366,1.408735,0.000114,18.22,True,2938.92
RISER_CORROSION,0.75,258.3,309.7916,284.0458,557.1958,12.76,586.2748,0.7529137,-0.01126,liquid,45.364,1.409158,0.000131,60.5,True,2877.8
RISER_CORROSION,0.8,258.3,309.7946,284.0473,557.1973,12.76,586.2409,0.7529109,-0.01163,liquid,45.363,1.408804,0.000115,25.16,True,2946.35
RISER_CORROSION,0.85,258.3,309.7976,284.0488,557.1988,12.76,586.208,0.7529081,-0.012,liquid,45.361,1.408596,0.000126,4.37,True,3003.5
RISER_CORROSION,0.9,258.3,309.8005,284.0502,557.2002,12.76,586.1761,0.7529055,-0.01235,liquid,45.36,1.408566,0.000142,1.33,True,2942.84
RISER_CORROSION,0.95,258.3,309.8032,284.0516,557.2016,12.76,586.145,0.7529029,-0.01269,liquid,45.358,1.408802,0.000112,24.93,True,3003.3
RISER_CORROSION,1.0,258.3,309.8059,284.053,557.203,12.76,586.1148,0.7529004,-0.01302,liquid,45.357,1.408767,0.000133,21.45,True,2869.22
