scenario,degradation_level,T_inlet_C,T_outlet_C,T_avg_C,T_moderator_K,P_MPa,mdot_kg_s,rho_g_cm3,delta_rho_pct,phase,subcooling_C,keff,keff_std,delta_keff_pcm,is_safe,wall_time_s
SG_FOULING,0.0,258.3,310.691,284.4955,557.6455,12.76,587.3,0.7520795,-0.12204,liquid,44.915,1.408397,0.000117,0.0,True,2895.98
SG_FOULING,0.05,263.8071,319.2526,291.5299,564.6799,12.76,554.9463,0.7385956,-1.91273,liquid,37.88,1.404896,0.000117,-350.04,True,2897.66
SG_FOULING,0.1,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402279,0.000134,-611.79,True,2818.96
SG_FOULING,0.15,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402279,0.000134,-611.79,True,2834.11
SG_FOULING,0.2,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402279,0.000134,-611.79,True,2966.3
SG_FOULING,0.25,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402207,0.000129,-618.95,True,2941.69
SG_FOULING,0.3,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402279,0.000134,-611.79,True,2908.26
SG_FOULING,0.35,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402279,0.000134,-611.79,True,2925.54
SG_FOULING,0.4,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402279,0.000134,-611.79,True,2968.96
SG_FOULING,0.45,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402279,0.000134,-611.79,True,2895.72
SG_FOULING,0.5,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402207,0.000129,-618.95,True,2974.73
SG_FOULING,0.55,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402207,0.000129,-618.95,True,2939.08
SG_FOULING,0.6,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402279,0.000134,-611.79,True,3018.09
SG_FOULING,0.65,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402207,0.000129,-618.95,True,2987.92
SG_FOULING,0.7,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402207,0.000129,-618.95,True,3052.39
SG_FOULING,0.75,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402207,0.000129,-618.95,True,3029.64
SG_FOULING,0.8,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402207,0.000129,-618.95,True,2953.89
SG_FOULING,0.85,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402207,0.000129,-618.95,True,2944.0
SG_FOULING,0.9,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402279,0.000134,-611.79,True,2916.06
SG_FOULING,0.95,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402207,0.000129,-618.95,True,2870.79
SG_FOULING,1.0,266.9576,324.41,295.6838,568.8338,12.76,535.56,0.7302094,-3.02645,liquid,33.726,1.402207,0.000129,-618.95,True,2802.86
