scenario,degradation_level,T_inlet_C,T_outlet_C,T_avg_C,T_moderator_K,P_MPa,mdot_kg_s,rho_g_cm3,delta_rho_pct,phase,subcooling_C,keff,keff_std,delta_keff_pcm,is_safe,wall_time_s,eta_index,delta_reactivity_pcm,T_sat_C,subcooling_core_exit_C
BYPASS_LEAKAGE,0.0,257.9804,313.6755,285.8279,558.9779,12.755,584.765,0.7495811,0.00553,liquid,43.5509,1.407985,0.000125,0.0,True,1647.47,0,0.0,329.3788,15.7033
BYPASS_LEAKAGE,0.05,257.9804,313.8788,285.9296,559.0796,12.755,584.765,0.7493899,-0.01997,liquid,43.4492,1.407944,0.000122,-4.1,True,1548.89,1,-2.07,329.3788,15.5000
BYPASS_LEAKAGE,0.1,257.9804,314.0835,286.0319,559.1819,12.755,584.765,0.7491973,-0.04567,liquid,43.3469,1.407824,0.000133,-16.1,True,1558.55,2,-8.12,329.3788,15.2953
BYPASS_LEAKAGE,0.15,257.9804,314.2895,286.1349,559.2849,12.755,584.765,0.7490032,-0.07156,liquid,43.2439,1.407645,0.000133,-34.0,True,1609.76,3,-17.15,329.3788,15.0893
BYPASS_LEAKAGE,0.2,257.9804,314.497,286.2387,559.3887,12.755,584.765,0.7488076,-0.09766,liquid,43.1401,1.407661,0.000141,-32.4,True,1587.36,4,-16.35,329.3788,14.8818
BYPASS_LEAKAGE,0.25,257.9804,314.7059,286.3431,559.4931,12.755,584.765,0.7486105,-0.12396,liquid,43.0357,1.407745,0.000112,-24.0,True,1637.21,5,-12.11,329.3788,14.6729
BYPASS_LEAKAGE,0.3,257.9804,314.9162,286.4483,559.5983,12.755,584.765,0.7484118,-0.15047,liquid,42.9305,1.407446,0.000123,-53.9,True,1560.52,6,-27.2,329.3788,14.4626
BYPASS_LEAKAGE,0.35,257.9804,315.128,286.5542,559.7042,12.755,584.765,0.7482116,-0.17718,liquid,42.8246,1.407467,0.000115,-51.8,True,1605.67,7,-26.14,329.3788,14.2508
BYPASS_LEAKAGE,0.4,257.9804,315.3412,286.6608,559.8108,12.755,584.765,0.7480098,-0.2041,liquid,42.7180,1.407546,0.000136,-43.9,True,1598.54,8,-22.15,329.3788,14.0376
BYPASS_LEAKAGE,0.45,257.9804,315.5559,286.7681,559.9181,12.755,584.765,0.7478065,-0.23123,liquid,42.6107,1.407373,0.000129,-61.2,True,1660.32,9,-30.88,329.3788,13.8229
BYPASS_LEAKAGE,0.5,257.9804,315.7721,286.8762,560.0262,12.755,584.765,0.7476015,-0.25857,liquid,42.5026,1.407311,0.000123,-67.4,True,1742.72,10,-34.02,329.3788,13.6067
BYPASS_LEAKAGE,0.55,257.9804,315.9898,286.9851,560.1351,12.755,584.765,0.7473949,-0.28613,liquid,42.3937,1.407243,0.000141,-74.2,True,1688.51,11,-37.45,329.3788,13.3890
BYPASS_LEAKAGE,0.6,257.9804,316.209,287.0947,560.2447,12.755,584.765,0.7471867,-0.31391,liquid,42.2841,1.40734,0.000115,-64.5,True,1710.78,12,-32.55,329.3788,13.1698
BYPASS_LEAKAGE,0.65,257.9804,316.4297,287.205,560.355,12.755,584.765,0.7469769,-0.34191,liquid,42.1738,1.407014,0.000134,-97.1,True,1683.94,13,-49.01,329.3788,12.9491
BYPASS_LEAKAGE,0.7,257.9804,316.652,287.3162,560.4662,12.755,584.765,0.7467654,-0.37013,liquid,42.0626,1.407042,0.000115,-94.3,True,1671.26,14,-47.6,329.3788,12.7268
BYPASS_LEAKAGE,0.75,257.9804,316.8758,287.4281,560.5781,12.755,584.765,0.7465522,-0.39857,liquid,41.9507,1.406892,0.000141,-109.3,True,1770.32,15,-55.18,329.3788,12.5030
BYPASS_LEAKAGE,0.8,257.9804,317.1011,287.5407,560.6907,12.755,584.765,0.7463372,-0.42724,liquid,41.8381,1.406911,0.00012,-107.4,True,1677.62,16,-54.22,329.3788,12.2777
BYPASS_LEAKAGE,0.85,257.9804,317.3281,287.6542,560.8042,12.755,584.765,0.7461206,-0.45615,liquid,41.7246,1.406951,0.000132,-103.4,True,1635.38,17,-52.2,329.3788,12.0507
BYPASS_LEAKAGE,0.9,257.9804,317.5566,287.7685,560.9185,12.755,584.765,0.7459023,-0.48528,liquid,41.6103,1.406757,0.000133,-122.8,True,1604.18,18,-62.0,329.3788,11.8222
BYPASS_LEAKAGE,0.95,257.9804,317.7867,287.8835,561.0335,12.755,584.765,0.7456821,-0.51464,liquid,41.4953,1.406773,0.00012,-121.2,True,1645.83,19,-61.19,329.3788,11.5921
BYPASS_LEAKAGE,1.0,257.9804,318.0185,287.9994,561.1494,12.755,584.765,0.7454603,-0.54425,liquid,41.3794,1.406782,0.000124,-120.3,True,1611.52,20,-60.74,329.3788,11.3603
