scenario,degradation_level,T_inlet_C,T_outlet_C,T_avg_C,T_moderator_K,P_MPa,mdot_kg_s,rho_g_cm3,delta_rho_pct,phase,subcooling_C,keff,keff_std,delta_keff_pcm,is_safe,wall_time_s,eta_index,delta_reactivity_pcm,T_sat_C,subcooling_core_exit_C
RISER_CORROSION,0.0,257.9794,313.6757,285.8275,558.9775,12.755,584.7543,0.7495818,0.00563,liquid,43.5513,1.407758,0.000121,0.0,True,1719.3,0,0.0,329.3788,15.7031
RISER_CORROSION,0.05,257.9792,313.6757,285.8275,558.9775,12.755,584.7519,0.749582,0.00566,liquid,43.5513,1.40797,0.00012,21.2,True,1747.55,1,10.7,329.3788,15.7031
RISER_CORROSION,0.1,257.9791,313.6757,285.8274,558.9774,12.755,584.7509,0.7495821,0.00567,liquid,43.5514,1.407755,0.0001,-0.3,True,1633.28,2,-0.15,329.3788,15.7031
RISER_CORROSION,0.15,257.9791,313.6757,285.8274,558.9774,12.755,584.7502,0.7495821,0.00567,liquid,43.5514,1.407812,0.000132,5.4,True,1636.59,3,2.72,329.3788,15.7031
RISER_CORROSION,0.2,257.979,313.6757,285.8274,558.9774,12.755,584.7495,0.7495822,0.00568,liquid,43.5514,1.407744,0.000127,-1.4,True,1651.76,4,-0.71,329.3788,15.7031
RISER_CORROSION,0.25,257.979,313.6757,285.8273,558.9773,12.755,584.749,0.7495822,0.00568,liquid,43.5515,1.407862,0.000132,10.4,True,1617.17,5,5.25,329.3788,15.7031
RISER_CORROSION,0.3,257.9789,313.6757,285.8273,558.9773,12.755,584.7484,0.7495822,0.00569,liquid,43.5515,1.407722,0.000107,-3.6,True,1629.25,6,-1.82,329.3788,15.7031
RISER_CORROSION,0.35,257.9789,313.6757,285.8273,558.9773,12.755,584.748,0.7495823,0.00569,liquid,43.5515,1.407803,0.000137,4.5,True,1650.84,7,2.27,329.3788,15.7031
RISER_CORROSION,0.4,257.9788,313.6757,285.8273,558.9773,12.755,584.7475,0.7495823,0.0057,liquid,43.5515,1.407683,0.000123,-7.5,True,1650.98,8,-3.78,329.3788,15.7031
RISER_CORROSION,0.45,257.9788,313.6758,285.8273,558.9773,12.755,584.7471,0.7495823,0.0057,liquid,43.5515,1.407843,0.000128,8.5,True,1637.92,9,4.29,329.3788,15.7030
RISER_CORROSION,0.5,257.9788,313.6758,285.8273,558.9773,12.755,584.7467,0.7495824,0.0057,liquid,43.5515,1.40782,0.000111,6.2,True,1725.97,10,3.13,329.3788,15.7030
RISER_CORROSION,0.55,257.9787,313.6758,285.8272,558.9772,12.755,584.7463,0.7495824,0.00571,liquid,43.5516,1.4077,0.000121,-5.8,True,1592.6,11,-2.93,329.3788,15.7030
RISER_CORROSION,0.6,257.9787,313.6758,285.8272,558.9772,12.755,584.746,0.7495824,0.00571,liquid,43.5516,1.408061,0.000129,30.3,True,1627.26,12,15.29,329.3788,15.7030
RISER_CORROSION,0.65,257.9787,313.6758,285.8272,558.9772,12.755,584.7456,0.7495824,0.00571,liquid,43.5516,1.407812,0.000136,5.4,True,1833.15,13,2.72,329.3788,15.7030
RISER_CORROSION,0.7,257.9786,313.6758,285.8272,558.9772,12.755,584.7453,0.7495825,0.00572,liquid,43.5516,1.407746,0.00013,-1.2,True,1965.35,14,-0.61,329.3788,15.7030
RISER_CORROSION,0.75,257.9786,313.6758,285.8272,558.9772,12.755,584.745,0.7495825,0.00572,liquid,43.5516,1.407713,0.000127,-4.5,True,1895.65,15,-2.27,329.3788,15.7030
RISER_CORROSION,0.8,257.9786,313.6758,285.8272,558.9772,12.755,584.7447,0.7495825,0.00572,liquid,43.5516,1.407992,0.000133,23.4,True,1911.58,16,11.81,329.3788,15.7030
RISER_CORROSION,0.85,257.9786,313.6758,285.8272,558.9772,12.755,584.7444,0.7495825,0.00573,liquid,43.5516,1.407979,0.000113,22.1,True,1936.37,17,11.15,329.3788,15.7030
RISER_CORROSION,0.9,257.9785,313.6758,285.8272,558.9772,12.755,584.7441,0.7495825,0.00573,liquid,43.5516,1.407768,0.000128,1.0,True,1746.79,18,0.5,329.3788,15.7030
RISER_CORROSION,0.95,257.9785,313.6758,285.8271,558.9771,12.755,584.7438,0.7495826,0.00573,liquid,43.5517,1.407729,0.000143,-2.9,True,1802.8,19,-1.46,329.3788,15.7030
RISER_CORROSION,1.0,257.9785,313.6758,285.8271,558.9771,12.755,584.7435,0.7495826,0.00573,liquid,43.5517,1.407827,0.000128,6.9,True,1825.24,20,3.48,329.3788,15.7030
