scenario,degradation_level,T_inlet_C,T_outlet_C,T_avg_C,T_moderator_K,P_MPa,mdot_kg_s,rho_g_cm3,delta_rho_pct,phase,subcooling_C,keff,keff_std,delta_keff_pcm,is_safe,wall_time_s,T_sat_C,subcooling_core_exit_C
SG_FOULING,0.0,257.9804,313.6755,285.8279,558.9779,12.755,584.765,0.7495811,0.00553,liquid,43.5509,1.407985,0.000125,,True,1508.8,329.3788,15.7033
SG_FOULING,0.05,258.1741,313.816,285.995,559.145,12.755,584.9368,0.7492667,-0.03641,liquid,43.3838,1.407726,0.000126,,True,1530.78,329.3788,15.5628
SG_FOULING,0.1,258.3718,313.9593,286.1656,559.3156,12.755,585.1124,0.7489455,-0.07927,liquid,43.2132,1.4077,0.000125,,True,1594.76,329.3788,15.4195
SG_FOULING,0.15,258.5736,314.1054,286.3395,559.4895,12.755,585.2917,0.7486174,-0.12304,liquid,43.0393,1.407427,0.000114,,True,1606.22,329.3788,15.2734
SG_FOULING,0.2,258.7792,314.2542,286.5167,559.6667,12.755,585.4748,0.7482825,-0.16772,liquid,42.8621,1.407538,0.000124,,True,1598.67,329.3788,15.1246
SG_FOULING,0.25,258.9887,314.4057,286.6972,559.8472,12.755,585.6616,0.7479409,-0.21329,liquid,42.6816,1.407524,0.000138,,True,1585.31,329.3788,14.9731
SG_FOULING,0.3,259.2019,314.5598,286.8809,560.0309,12.755,585.8521,0.7475927,-0.25974,liquid,42.4979,1.407195,0.000124,,True,1594.68,329.3788,14.8190
SG_FOULING,0.35,259.419,314.7165,287.0677,560.2177,12.755,586.0461,0.747238,-0.30707,liquid,42.3111,1.40722,0.000133,,True,1582.42,329.3788,14.6623
SG_FOULING,0.4,259.6396,314.8757,287.2577,560.4077,12.755,586.2438,0.7468767,-0.35527,liquid,42.1211,1.407103,0.000116,,True,1542.06,329.3788,14.5031
SG_FOULING,0.45,259.864,315.0374,287.4507,560.6007,12.755,586.4451,0.7465091,-0.40432,liquid,41.9281,1.406817,0.000128,,True,1565.92,329.3788,14.3414
SG_FOULING,0.5,260.0918,315.2015,287.6467,560.7967,12.755,586.6498,0.746135,-0.45423,liquid,41.7321,1.406718,0.000126,,True,1561.73,329.3788,14.1773
SG_FOULING,0.55,260.3233,315.3681,287.8457,560.9957,12.755,586.8581,0.7457547,-0.50497,liquid,41.5331,1.406857,0.000145,,True,1588.1,329.3788,14.0107
SG_FOULING,0.6,260.5581,315.5369,288.0475,561.1975,12.755,587.0698,0.7453681,-0.55655,liquid,41.3313,1.406653,0.000122,,True,1528.96,329.3788,13.8419
SG_FOULING,0.65,260.7964,315.7081,288.2523,561.4023,12.755,587.285,0.7449753,-0.60895,liquid,41.1265,1.406388,0.000127,,True,1562.98,329.3788,13.6707
SG_FOULING,0.7,261.038,315.8816,288.4598,561.6098,12.755,587.5036,0.7445764,-0.66217,liquid,40.9190,1.406452,0.000132,,True,1575.69,329.3788,13.4972
SG_FOULING,0.75,261.2829,316.0572,288.6701,561.8201,12.755,587.7256,0.7441715,-0.71619,liquid,40.7087,1.406122,0.000132,,True,1599.8,329.3788,13.3216
SG_FOULING,0.8,261.5311,316.235,288.8831,562.0331,12.755,587.9509,0.7437605,-0.77102,liquid,40.4957,1.406144,0.000122,,True,1608.51,329.3788,13.1438
SG_FOULING,0.85,261.7825,316.415,289.0987,562.2487,12.755,588.1796,0.7433437,-0.82663,liquid,40.2801,1.406154,0.000115,,True,1620.14,329.3788,12.9638
SG_FOULING,0.9,262.037,316.597,289.317,562.467,12.755,588.4116,0.7429209,-0.88303,liquid,40.0618,1.406228,0.000119,,True,1560.35,329.3788,12.7818
SG_FOULING,0.95,262.2946,316.7811,289.5378,562.6878,12.755,588.6468,0.7424923,-0.94021,liquid,39.8410,1.405716,0.000129,,True,1569.12,329.3788,12.5977
SG_FOULING,1.0,262.5553,316.9671,289.7612,562.9112,12.755,588.8853,0.742058,-0.99816,liquid,39.6176,1.405607,0.000131,,True,1562.46,329.3788,12.4117
