scenario,degradation_level,T_inlet_C,T_outlet_C,T_avg_C,T_moderator_K,P_MPa,mdot_kg_s,rho_g_cm3,delta_rho_pct,phase,subcooling_C,keff,keff_std,delta_keff_pcm,is_safe,wall_time_s,eta_index,T_sat_C,subcooling_core_exit_C
SG_FOULING,0.0,257.9804,313.6755,285.8279,558.9779,12.755,584.765,0.7495811,0.00553,liquid,43.5509,1.299927,0.000132,,True,1895.27,0,329.3788,15.7033
SG_FOULING,0.1,258.3718,313.9593,286.1656,559.3156,12.755,585.1124,0.7489455,-0.07927,liquid,43.2132,1.300081,0.000142,,True,1772.02,2,329.3788,15.4195
SG_FOULING,0.2,258.7792,314.2542,286.5167,559.6667,12.755,585.4748,0.7482825,-0.16772,liquid,42.8621,1.299978,0.000134,,True,1953.14,4,329.3788,15.1246
SG_FOULING,0.3,259.2019,314.5598,286.8809,560.0309,12.755,585.8521,0.7475927,-0.25974,liquid,42.4979,1.300087,0.000129,,True,1780.41,6,329.3788,14.8190
SG_FOULING,0.4,259.6396,314.8757,287.2577,560.4077,12.755,586.2438,0.7468767,-0.35527,liquid,42.1211,1.299796,0.00014,,True,1864.96,8,329.3788,14.5031
SG_FOULING,0.5,260.0918,315.2015,287.6467,560.7967,12.755,586.6498,0.746135,-0.45423,liquid,41.7321,1.299781,0.000129,,True,1727.62,10,329.3788,14.1773
SG_FOULING,0.6,260.5581,315.5369,288.0475,561.1975,12.755,587.0698,0.7453681,-0.55655,liquid,41.3313,1.299883,0.000121,,True,1841.9,12,329.3788,13.8419
SG_FOULING,0.7,261.038,315.8816,288.4598,561.6098,12.755,587.5036,0.7445764,-0.66217,liquid,40.9190,1.299416,0.000123,,True,1710.85,14,329.3788,13.4972
SG_FOULING,0.8,261.5311,316.235,288.8831,562.0331,12.755,587.9509,0.7437605,-0.77102,liquid,40.4957,1.299219,0.00013,,True,2137.13,16,329.3788,13.1438
SG_FOULING,0.9,262.037,316.597,289.317,562.467,12.755,588.4116,0.7429209,-0.88303,liquid,40.0618,1.29953,0.000134,,True,1845.66,18,329.3788,12.7818
SG_FOULING,1.0,262.5553,316.9671,289.7612,562.9112,12.755,588.8853,0.742058,-0.99816,liquid,39.6176,1.299348,0.000138,,True,1943.34,20,329.3788,12.4117
